size,rooms,age,price
1660,5,15,298.5625700801872
2094,4,28,317.24535395867514
1930,4,6,359.9232863568906
1895,2,30,243.3068861799006
2438,6,4,434.00449011083924
2969,5,21,470.3721802872978
1266,3,28,212.04416427771804
2038,4,22,317.88642061572176
1130,2,2,209.82404235954192
2282,2,11,347.64124843394086
2935,5,25,415.9978914625669
930,4,15,176.41340564058612
2485,6,18,414.23889446868907
1569,4,4,304.94382120720377
3191,5,21,498.69268913995006
2315,5,24,416.6839054237388
3233,4,28,483.4014905800505
2015,5,13,361.8015367509143
1755,4,27,286.1245948024328
3124,3,4,451.8167658840548
1984,4,14,339.61717160019026
1259,4,16,241.86353402699652
821,5,29,198.58796400845222
3100,5,13,475.31922641119195
1547,2,29,230.62366285602928
1274,2,19,243.19847282506444
1882,3,4,325.12099628857857
3358,2,11,481.0027930524735
2847,4,15,458.8935997927778
1775,5,25,302.9694882028541
2606,2,25,358.3223120452604
989,2,15,178.99481001954487
1362,3,20,235.8819024637208
2699,3,6,402.55475540361334
2067,4,3,372.6527543564735
2328,5,0,441.80995728113623
1446,3,29,261.79859019487606
2868,2,29,400.14177065213016
3014,5,4,557.5095614377889
2097,5,22,338.45631092779877
3235,2,25,450.00801591801695
1400,3,9,264.5835501434588
3163,2,21,482.3050733304418
2861,5,4,465.1125428661212
1041,6,3,267.9269539454806
2841,6,1,493.9351838638994
3412,4,19,448.3426068922549
2163,2,30,276.41612445798097
2939,2,9,405.7016834611576
2190,4,25,346.5598446619052
2278,4,18,375.903899394429
3356,4,25,529.6242709803972
1575,5,0,362.76059595465125
834,2,23,129.6574086084399
3053,5,4,485.8996332162911
2755,4,12,448.8979792876626
2385,2,3,337.19416982448394
1821,5,15,384.30646914635884
3413,5,23,543.0460030180321
1929,4,15,319.7506086973824
2300,2,22,279.17163677272805
1502,4,1,342.0868093541353
3249,2,16,445.01650386868454
2379,6,27,432.4254077993365
961,3,26,133.45930853014082
1001,3,19,177.1356244261557
2781,3,23,397.85109249295454
1795,4,11,324.57451484411854
3117,6,17,498.7883632130189
1615,2,2,295.3712483086874
